ID	Headword	Headword IAST	Slug	Letter	Grammar	Num Definitions	Num References	Num CrossRefs
aga-naicaita	अग्निचित्	aga्naicaita्	aga-naicaita	अ		0	0	0
	१	१		१		0	0	0
	२	२		२		0	1	0
	३	३		३		0	0	0
	८	८		८		0	0	0
	४	४		४		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
aga-nai	अग्निः	aga्naiḥ	aga-nai	अ		0	0	0
vaedavaida-ya	वेदविद्या	vaedavaida्yaā	vaedavaida-ya	व		0	0	0
	५	५		५		0	0	0
	२४	२४		२		0	0	0
jauhaotai	जुहोति	jauhaotai	jauhaotai	ज		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
	१	१		१		0	0	0
	२	२		२		0	0	0
haota-rama	होत्रम्	haota्rama्	haota-rama	ह		0	1	0
	४	४		४		0	0	0
	१	१		१		0	1	0
	४	४		४		0	0	0
	१	१		१		0	0	0
	४	४		४		0	0	0
va-ya-saena	व्यासेन	va्yaāsaena	va-ya-saena	व		0	0	0
bhagavada-da-vaca	भगवद्द्वचः	bhagavada्da्vacaḥ	bhagavada-da-vaca	भ		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
	३	३		३		0	0	0
	४	४		४		0	0	0
	३	३		३		0	0	0
aga-na-ya-dai	अग्न्यादि	aga्na्yaādai	aga-na-ya-dai	अ		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
	१	१		१		0	0	1
ca	च	ca	ca	च		0	0	0
	१	१		१		0	0	0
	३	३		३		0	1	0
	३	३		३		0	0	0
	१	१		१		0	0	0
	५	५		५		0	0	0
	२	२		२		0	0	0
	३	३		३		0	0	0
	२	२		२		0	1	0
aga-raima	अग्रिमं	aga्raimaṃ	aga-raima	अ		0	0	0
	२	२		२		0	0	0
aga-raha-a	अग्रहणं	aga्rahaṇaṃ	aga-raha-a	अ		0	0	0
	१	१		१		0	0	0
	१	१		१		0	1	0
	५	५		५		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	१	१		१		0	0	0
	३	३		३		0	0	0
ajaita	अजित	ajaita	ajaita	अ		0	0	0
vaina-akara-ama	विनाशकरणम्	vainaāśakaraṇama्	vaina-akara-ama	व		0	0	0
	४	४		४		0	0	0
	१	१		१		0	0	0
